Number,Genus,Scientific Name,Common Name,Family,Type,Form,iTree Code,Carbon Category,EcoSystem,Te Score
286,P,Pistachia chinensis,Chinese Pistachio,Anacardiaceae,EXOTIC,Deciduous,PICH,Exotic Hardwoods,Climate Suited,6
287,P,Pittosporum eugenioides 'Variegatum',Lemonwood,Pittosporaceae,EXOTIC,Evergreen,PIEU,Exotic Hardwoods,-,0
288,P,Pittosporum revolutum,Yellow pittosporum,Pittosporaceae,NATIVE,Evergreen,PIRE1,Native Hardwoods,Climate Suited,6
289,P,Pittosporum rhombifolium,Diamond Leaf Pittosporum,Pittosporaceae,NATIVE,Evergreen,PIRH,Native Hardwoods,-,0
290,P,Pittosporum undulatum,Sweet Pittosporum,Pittosporaceae,NATIVE,Evergreen,PIUN,Native Hardwoods,Indigenous,6
291,P,Platanus occidentalis,Sycamore,Platanaceae,EXOTIC,Deciduous,PLOC,Exotic Hardwoods,-,0
292,P,Platanus orientalis,Oriental Plane,Platanaceae,EXOTIC,Deciduous,PLOR,Exotic Hardwoods,Climate Suited,6
293,P,Platanus orientalis var. Digitata,Cyprus Plane Tree,Platanaceae,EXOTIC,Deciduous,PLORDI,Exotic Hardwoods,-,0
294,P,Platanus x acerifolia,London Plane Tree,Platanaceae,EXOTIC,Deciduous,PLAC,Exotic Hardwoods,-,0
295,P,Platanus x hybrida,London Plane Tree,Platanaceae,EXOTIC,Deciduous,PLAC,Exotic Hardwoods,-,0
296,P,Plumeria acutifolia,Frangipani,Apocynaceae,EXOTIC,deciduous,PLRU,Exotic Hardwoods,-,0
297,P,Podocarpus elatus,Illawarra Plum,Podocarpaceae,NATIVE,Evergreen,POEL,Conifer,Climate Suited,6
298,P,Podocarpus falcatus,Plum-fruited Yew,Podocarpaceae,EXOTIC,Evergreen,AFFA,Exotic Hardwoods,-,0
299,P,Populus alba,Silverleaf Poplar,Salicaceae,EXOTIC,Deciduous,POAL,Exotic Hardwoods,Cimate Unsuited,4
300,P,Populus deltoides,Necklace Poplar,Salicaceae,EXOTIC,Deciduous,PODE,Exotic Hardwoods,Climate Suited,6
301,P,Populus nigra 'Italica',Lombardy Poplar,Salicaceae,EXOTIC,Deciduous,PONI,Exotic Hardwoods,-,0
302,P,Populus simonii,Simon Poplar,Salicaceae,EXOTIC,Deciduous,POSI,Exotic Hardwoods,Cimate Unsuited,4
303,P,Populus sp.,Popular,Salicaceae,EXOTIC,Deciduous,-,Exotic Hardwoods,-,0
304,P,Populus yunnanensis,Chinese Poplar,Salicaceae,EXOTIC,Deciduous,POYU,Exotic Hardwoods,Cimate Unsuited,4
305,P,Protea sp.,Sugarbush,Proteaceae,EXOTIC,Evergreen,-,exotic Hardwoods,-,0
306,P,Prunus cerasifera 'Nigra',Black Plum,Rosaceae,EXOTIC,Deciduous,PRCE,Exotic Hardwoods,-,0
307,P,Prunus sp.,Plum,Rosaceae,EXOTIC,Deciduous,-,Exotic Hardwoods,-,0
308,P,Prunus x blireana cv,Flowering Plum,Rosaceae,EXOTIC,Deciduous,PRX,Exotic Hardwoods,-,0
309,P,Psidium guajava,Common Guava,Myrtaceae,EXOTIC,Evergreen,PSGU,Exotic Hardwoods,Climate Suited,6
310,P,Pyrus calleryana,Callery Pear,Rosaceae,EXOTIC,Deciduous,PYCA,Exotic Hardwoods,Climate Suited,6
311,P,Pyrus calleryana 'Bradford',Callery Pear,Rosaceae,EXOTIC,Deciduous,PYCA,Exotic Hardwoods,-,0
312,P,Pyrus calleryana 'Chanticleer',Callery Pear,Rosaceae,EXOTIC,Deciduous,PYCA,Exotic Hardwoods,-,0
313,P,Pyrus sp.,Pear,Rosaceae,EXOTIC,Deciduous,-,Exotic Hardwoods,-,0
314,P,Pyrus ussuriensis,Manchurian Pear,Rosaceae,EXOTIC,Deciduous,PYUS,Exotic Hardwoods,Cimate Unsuited,4
315,Q,Q,N/A,0,0,0,N/A,-,-,0
316,Q,Quercus palustris,Pin Oak,Fagaceae,EXOTIC,Deciduous,QUPA,Exotic Hardwoods,Climate Suited,6
317,Q,Quercus robur,English Oak,Fagaceae,EXOTIC,Deciduous,QURO,Exotic Hardwoods,Cimate Unsuited,4
318,R,R,N/A,0,0,0,N/A,-,-,0
319,R,Radermachera sinica,China Doll Tree,Bignoniaceae,EXOTIC,Deciduous,RASI,Exotic Hardwoods,Climate Suited,6
320,R,Rhapis sp.,Bamboo Palm,Arecaceae,EXOTIC,Evergreen,-,Palms,-,0
321,R,Robinia pseudoacacia,False Acacia,Fabaceae,EXOTIC,Deciduous,ROPS,Exotic Hardwoods,Cimate Unsuited,4
322,R,Robinia pseudoacacia 'Frisia',Golden Robinnia,Fabaceae,EXOTIC,Deciduous,ROPS,Exotic Hardwoods,-,0
323,S,S,N/A,0,0,0,N/A,-,-,0
324,S,Salix babylonica,Weeping Willow,Salicaceae,EXOTIC,Evergreen,SABA1,Exotic Hardwoods,Weed,0
325,S,Sapium sebiferum,Chinese Tallowood,Euphorbiaceae,EXOTIC,Deciduous,TRSE6,Exotic Hardwoods,-,0
326,S,Schefflera actinophylla,QLD Umbrella Tree,Araliaceae,NATIVE,Evergreen,BRAC,Native Hardwoods,Climate Suited,6
327,S,Schinus areira,Peppercorn,Anacardiaceae,EXOTIC,Evergreen,SCMO,Exotic Hardwoods,Climate Suited,6
328,S,Schinus molle,Peruvian Pepper,Anacardiaceae,EXOTIC,Evergreen,SCMO,Exotic Hardwoods,Cimate Unsuited,4
329,S,Stenocarpus sinuatus,Queensland firewheel,Proteaceae,NATIVE,Evergreen,STSI,Native Hardwoods,Climate Suited,6
330,S,Syagrus romanzoffiana,Cocos Palm,Arecaceae,EXOTIC,Evergreen,SYRO,Palms,-,0
331,S,Syncarpia glomulifera,Turpentine,Myrtaceae,NATIVE,Evergreen,SYGL,Native Hardwoods,Indigenous,6
332,S,Syzygium australe,Creek Lilly Pilly,Myrtaceae,NATIVE,Evergreen,SYAU,Native Hardwoods,-,0
333,S,Syzygium luehmannii,Small-leaved lilli pilli,Myrtaceae,NATIVE,Evergreen,SYLU,Native Hardwoods,Cimate Unsuited,4
334,S,Syzygium oleosum,Blue Lilli Pilli,Myrtaceae,NATIVE,Evergreen,SYOL,Native Hardwoods,Climate Suited,6
335,S,Syzygium paniculatum,Magenta Lilly Pilly,Myrtaceae,NATIVE,Evergreen,SYPA1,Native Hardwoods,Climate Suited,6
336,S,Syzygium sp.,Lilly Pilly,Myrtaceae,NATIVE,Evergreen,-,Native Hardwoods,-,0
337,T,T,N/A,0,0,0,N/A,-,-,0
338,T,Taxodium distichum,Bald Cypress,Cupressaceae,EXOTIC,Evergreen,TADI,Conifer,Climate Suited,6
339,T,Thuja plicata,Pacific Red Cedar,Cupressaceae,EXOTIC,Evergreen,THPL,Conifer,-,0
340,T,Tibouchina 'Alstonville',Alstonville Tibouchina,Melastomataceae,EXOTIC,Evergreen,TILE,Exotic Hardwoods,-,0
341,T,Tibouchina granulosa,Purple Glory Bush,Melastomataceae,EXOTIC,Evergreen,TIGR3,Exotic Hardwoods,-,0
342,T,Toona ciliata,Red Cedar,Meliaceae,NATIVE,Deciduous,TOCI,Native Hardwoods,Cimate Unsuited,4
343,T,Trachycarpus fortunei,Chinese Windmill Palm,Arecaceae,EXOTIC,Evergreen,TRFO,Palms,-,0
344,T,Tristaniopsis laurina 'Luscious',Water Gum,Myrtaceae,NATIVE,Evergreen,TRLA,Native Hardwoods,-,0
345,U,U,N/A,0,0,0,N/A,-,-,0
346,U,Ulmus glabra,Scots Elm,Ulmaceae,EXOTIC,Deciduous,ULGL,Exotic Hardwoods,Cimate Unsuited,4
347,U,Ulmus glabra 'Lutescens',Golden Wych Elm,Ulmaceae,EXOTIC,Deciduous,ULJA,Exotic Hardwoods,-,0
