MTMZCode,Asset_ID,NF_ID,Named_Faci,Address,Ownership,Parent_Nam,WardName,SUBURB_NAM,Parenttype,SimpleCode,x,y,Tree_zone,_id
BentSt-1658-Ab,RDS009810,NFI001658,Bent Street,Bent Street Chester Hill,CBC,Bent Street,BASS HILL,CHESTER HILL,RDS,A,150.9998756,-33.88213931,57,ed05baec-3468-4ba7-a3cd-c9e1a4c18da5
ChesHi-1668-Ab,RDS020880,NFI001668,Chester Hill Road,Chester Hill Road Chester Hill,CBC,Chester Hill Road,BASS HILL,CHESTER HILL,RDS,A,151.0005728,-33.88370211,57,f0f85af1-277f-4992-9ae2-274fc09c3796
WeemSt-3172-Bb,RDS100410,NFI003172,Weemala Street,Weemala Street Chester Hill,CBC,Weemala Street,BASS HILL,CHESTER HILL,RDS,B,150.9989402,-33.88153155,57,f5fba82d-f836-4a3e-bb48-67e5ffa84b1d
CampHi-1771-Bb,RDS017210,NFI001771,Campbell Hill Road,Campbell Hill Road Chester Hill,CBC,Campbell Hill Road,BASS HILL,CHESTER HILL,RDS,B,150.9976389,-33.88286565,57,f80dbdfd-d5c0-4e44-91eb-0a119503579f
JoyAv-4668-Ab,RDS600910,NFI004668,Joy Avenue,Joy Avenue Earlwood,CBC,Joy Avenue,CANTERBURY,EARLWOOD,RDS,A,151.125021,-33.92727192,144,faf58830-2229-4ba0-adb6-ee12c9747be9
FrosLa-2952-Bb,RDS098330,NFI002952,Frost Lane,Frost Lane Chester Hill,CBC,Frost Lane,BASS HILL,CHESTER HILL,RDS,B,151.0033195,-33.88302575,57,fb2aef97-2d03-488d-88ab-4500026c3f6b
BentSt-1658-Bb,RDS009810,NFI001658,Bent Street,Bent Street Chester Hill,CBC,Bent Street,BASS HILL,CHESTER HILL,RDS,B,150.9998203,-33.88185998,57,fc9b968d-b00f-4776-b564-3c57f48c2fac
GregLa-3369-Bb,RDS601010,NFI003369,Gregory Lane,Gregory Lane Earlwood,CBC,Gregory Lane,CANTERBURY,EARLWOOD,RDS,B,151.1282088,-33.9271491,144,feb08855-0809-4b52-90ca-d5a9e1b4c8db
CampHi-5680-Ab,RDS017220,NFI005680,Campbell Hill Road,Campbell Hill Road Chester Hill,CBC,Campbell Hill Road,BASS HILL,CHESTER HILL,RDS,A,150.9978768,-33.88161492,57,ffb1f5dc-a342-4854-b8f7-df706c3e7184
ViewSt-3360-Bb,RDS600510,NFI003360,View Street,View Street Earlwood,CBC,View Street,CANTERBURY,EARLWOOD,RDS,B,151.1277813,-33.92771391,144,fff9c4c1-98d8-4404-b097-cc92c7a7527d
CarePa-2920-Ab,RDS414610,NFI002920,Carey Pathway,Carey Pathway Bass Hill,CBC,Carey Pathway,BASS HILL,BASS HILL,RDS,A,150.9958454,-33.89946942,50,70bd3be4-1393-4255-b5cd-d478f8c72a7c
HumeHi-1804-Ab,RDS047119,NFI001804,Hume Highway,Hume Highway Bass Hill,RMS,Hume Highway,BASS HILL,BASS HILL,RDS,A,150.9969115,-33.89954455,50,9c9a4902-c4a4-4abc-8529-330182b7e86a
DenmRo-5459-Bb,RDS027630,NFI005459,Denman Road,Denman Road Georges Hall,CBC,Denman Road,BASS HILL,GEORGES HALL,RDS,B,150.9899161,-33.90126,50,9f17d497-8f48-4031-b0dc-eacb1397335b
HumeHi-6114-Ab,RDS047117,NFI006114,Hume Highway,Hume Highway Bass Hill,RMS,Hume Highway,BASS HILL,BASS HILL,RDS,A,150.9945697,-33.89815058,50,b79e60b8-9e58-4dfb-bd03-fc3aaa8c465d
HumeHi-1797-Ab,RDS047118,NFI001797,Hume Highway,Hume Highway Bass Hill,RMS,Hume Highway,BASS HILL,BASS HILL,RDS,A,150.9957846,-33.89868673,50,f65c9c1d-1c12-467d-b17e-5e83721b1682
ToweSt-1637-Bb,RDS094530,NFI001637,Tower Street,Tower Street Panania,CBC,Tower Street,REVESBY,PANANIA,RDS,B,151.004676,-33.95701033,7,2ae88191-0407-4648-a9d6-d7ac8b9ba812
KirkLa-1856-Bb,RDS147310,NFI001856,Kirkman Lane,Kirkman Lane Chester Hill,CBC,Kirkman Lane,BASS HILL,CHESTER HILL,RDS,B,150.9936654,-33.87189653,61,5ca5d3a4-dc36-4938-a0ab-f0321e3b19ae
GurnRo-2922-Ab,RDS041250,NFI002922,Gurney Road,Gurney Road Chester Hill,CBC,Gurney Road,BASS HILL,CHESTER HILL,RDS,A,150.9943077,-33.87149671,61,6d0f6525-58db-4140-afe2-6319487aa188
PicnPo-5563-Bb,RDS075980,NFI005563,Picnic Point Road,Picnic Point Road Panania,CBC,Picnic Point Road,REVESBY,PANANIA,RDS,B,151.0032473,-33.9579277,7,7ff001a7-fe3e-4ef4-a270-2ae56057886c
ArnoLa-2917-Ab,RDS137320,NFI002917,Arnold Lane,Arnold Lane Panania,CBC,Arnold Lane,REVESBY,PANANIA,RDS,A,151.0037416,-33.95735273,7,86978f43-81d3-4054-ace6-66fe72875c2d
ArnoLa-2917-Bb,RDS137320,NFI002917,Arnold Lane,Arnold Lane Panania,CBC,Arnold Lane,REVESBY,PANANIA,RDS,B,151.0037171,-33.95732225,7,9c677e13-c4d5-4847-b1da-4d8565ac8370
DunmSt-1965-Bb,RDS501210,NFI001965,Dunmore Street,Dunmore Street Croydon Park,CBC,Dunmore Street,CANTERBURY,CROYDON PARK,RDS,B,151.1070372,-33.89724228,134,1c9f2632-b301-4aaf-a4e8-73885d7c104e
BreuPl-2160-Bb,RDS148710,NFI002160,Breust Place,Breust Place Punchbowl,CBC,Breust Place,BANKSTOWN,PUNCHBOWL,RDS,B,151.0545837,-33.92497337,81,26940cb7-e6c2-4147-b737-a2584f488fd6
PuncRo-3191-Ab,RDS078150,NFI003191,Punchbowl Road,Punchbowl Road Punchbowl,RMS,Punchbowl Road,BANKSTOWN,PUNCHBOWL,RDS,A,151.0567262,-33.9241825,81,30535062-c203-431c-b2e3-58af5e1ce75e
PuncRo-2163-Ab,RDS078147,NFI002163,Punchbowl Road,Punchbowl Road Punchbowl,RMS,Punchbowl Road,BANKSTOWN,PUNCHBOWL,RDS,A,151.0554711,-33.92505149,81,39f3f633-4827-4f6c-b7d8-00d78087f3f8
HighAv-5082-Ab,RDS044510,NFI005082,Highclere Avenue,Highclere Avenue Punchbowl,CBC,Highclere Avenue,BANKSTOWN,PUNCHBOWL,RDS,A,151.0556925,-33.92356553,81,3d6c9768-95f3-47d8-902f-65d2d6ab9400
BreuPl-2160-Ab,RDS148710,NFI002160,Breust Place,Breust Place Punchbowl,CBC,Breust Place,BANKSTOWN,PUNCHBOWL,RDS,A,151.054706,-33.92508057,81,5dd8b020-bed3-4281-80f4-f3e095beaa21
BrigAv-4563-Bb,RDS501360,NFI004563,Brighton Avenue,Brighton Avenue Croydon Park,CBC,Brighton Avenue,CANTERBURY,CROYDON PARK,RDS,B,151.1083351,-33.89675876,134,619e1c8b-595c-413c-b4c2-9a02a291f3f9
ClydSt-1893-Ab,RDS501110,NFI001893,Clyde Street,Clyde Street Croydon Park,CBC,Clyde Street,CANTERBURY,CROYDON PARK,RDS,A,151.1059418,-33.89715409,134,69dfe099-0ca0-4902-bbe8-fd5e98c4d05b
EldrRo-5415-Ab,RDS030980,NFI005415,Eldridge Road,Eldridge Road Bankstown,CBC,Eldridge Road,BANKSTOWN,BANKSTOWN,RDS,A,151.0257719,-33.9325292,36,8087d61a-b80f-4dea-9994-4a1aa5cc60f6
QuinLa-2164-Zz,RDS110010,NFI002164,Quine Lane,Quine Lane Punchbowl,CBC,Quine Lane,BANKSTOWN,PUNCHBOWL,RDS,Z,151.0548805,-33.92456444,81,85abc709-2662-446e-bec9-384e2f467419
DunmSt-1965-Ab,RDS501210,NFI001965,Dunmore Street,Dunmore Street Croydon Park,CBC,Dunmore Street,CANTERBURY,CROYDON PARK,RDS,A,151.1071411,-33.89725353,134,89fca0a7-f36a-4f0c-9452-c2d0f6147ad4
MoorSt-5348-Bb,RDS067710,NFI005348,Moore Street,Moore Street Lansdowne,CBC,Moore Street,BASS HILL,LANSDOWNE,RDS,B,150.9718571,-33.88959919,51,9f55ea71-244f-4ce3-befd-7e510915535d
