objectid,mb_code_2021,change_flag_2021,sa2_name_2021,Suburb_Name
4143,10046250000,0,Panania (North) - Milperra,East Hills
4144,10046262000,0,Panania (North) - Milperra,East Hills
4145,10046270000,0,Panania (North) - Milperra,East Hills
4146,10046290000,0,Panania (North) - Milperra,East Hills
4147,10046300000,0,Panania (North) - Milperra,Panania
4148,10046311000,0,Panania (North) - Milperra,Panania
4149,10046312000,0,Panania (North) - Milperra,Panania
4150,10046320000,0,Panania (North) - Milperra,Panania
4151,10046330000,0,Panania (North) - Milperra,Panania
4152,10046341000,0,Panania (North) - Milperra,Panania
4153,10046342000,0,Panania (North) - Milperra,Panania
4154,10046360000,0,Panania (North) - Milperra,Panania
4155,10046370000,0,Panania (North) - Milperra,Panania
4156,10046380000,0,Panania (North) - Milperra,Panania
4157,10046390000,0,Panania (North) - Milperra,Panania
4158,10046400000,0,Panania (North) - Milperra,Panania
4159,10046410000,0,Panania (North) - Milperra,Panania
4160,10046420000,0,Panania (North) - Milperra,Panania
4161,10046430000,0,Panania (North) - Milperra,Panania
4162,10046440000,0,Panania (North) - Milperra,Panania
4163,10046460000,0,Panania (North) - Milperra,Panania
4164,10046470000,0,Panania (North) - Milperra,Panania
4165,10046480000,0,Revesby,Revesby
4166,10046510000,0,Panania (North) - Milperra,Panania
4167,10046520000,0,Panania (North) - Milperra,Panania
4171,10046560000,0,Panania (North) - Milperra,Panania
4172,10046580000,0,Revesby,Revesby
4173,10046591000,0,Revesby,Revesby
4174,10046592000,0,Revesby,Revesby
4175,10046601000,0,Revesby,Revesby
4176,10046603000,0,Revesby,Revesby
4177,10046604000,0,Revesby,Revesby
4178,10046610000,0,Revesby,Revesby
4179,10046640000,0,Revesby,Revesby
4180,10046650000,0,Revesby,Revesby
4181,10046660000,0,Revesby,Revesby
4182,10046670000,0,Revesby,Revesby
4183,10046680000,0,Revesby,Revesby
4184,10046700000,0,Revesby,Revesby
4185,10046710000,0,Revesby,Revesby
4186,10046720000,0,Panania (North) - Milperra,Panania
4187,10046740000,0,Revesby,Revesby
4188,10046760000,0,Revesby,Revesby
4189,10046770000,0,Revesby,Revesby
4190,10046780000,0,Revesby,Revesby
4191,10046790000,0,Revesby,Revesby
4192,10046810000,0,Revesby,Revesby
4193,10046820000,0,Revesby,Revesby
4194,10046830000,0,Padstow,Padstow
4195,10046840000,0,Padstow,Padstow
4196,10046850000,0,Padstow,Padstow
